"","Div","Club","Tilt"
"131","SC0","Livingston",1.30263157894737
"132","SC0","Motherwell",1.51315789473684
"133","SC0","Rangers",1.56578947368421
"134","SC0","Ross County",1.38157894736842
"135","SC0","St Johnstone",1.09210526315789
"136","SC0","St Mirren",1.28947368421053
"137","SP1","Alaves",1.07894736842105
"138","SP1","Almeria",1.55263157894737
"139","SP1","Ath Bilbao",1.28947368421053
"140","SP1","Ath Madrid",1.48684210526316
"141","SP1","Barcelona",1.61842105263158
"142","SP1","Betis",1.22368421052632
"143","SP1","Cadiz",1.06578947368421
"144","SP1","Celta",1.35526315789474
"145","SP1","Getafe",1.26315789473684
"146","SP1","Girona",1.72368421052632
"147","SP1","Granada",1.53947368421053
"148","SP1","Las Palmas",1.05263157894737
"149","SP1","Mallorca",1.01315789473684
"150","SP1","Osasuna",1.32894736842105
"151","SP1","Real Madrid",1.48684210526316
"152","SP1","Sevilla",1.34210526315789
"153","SP1","Sociedad",1.18421052631579
"154","SP1","Valencia",1.11842105263158
"155","SP1","Vallecano",1.01315789473684
"156","SP1","Villarreal",1.71052631578947
"157","T1","Ad. Demirspor",1.51315789473684
"158","T1","Alanyaspor",1.35526315789474
"159","T1","Ankaragucu",1.28947368421053
"160","T1","Antalyaspor",1.22368421052632
"161","T1","Besiktas",1.30263157894737
"162","T1","Buyuksehyr",1.31578947368421
"163","T1","Fenerbahce",1.71052631578947
"164","T1","Galatasaray",1.55263157894737
"165","T1","Gaziantep",1.40789473684211
"166","T1","Hatayspor",1.27631578947368
"167","T1","Istanbulspor",1.40789473684211
"168","T1","Karagumruk",1.32894736842105
"169","T1","Kasimpasa",1.67105263157895
"170","T1","Kayserispor",1.32894736842105
"171","T1","Konyaspor",1.22368421052632
"172","T1","Pendikspor",1.51315789473684
"173","T1","Rizespor",1.39473684210526
"174","T1","Samsunspor",1.23684210526316
"175","T1","Sivasspor",1.32894736842105
"176","T1","Trabzonspor",1.56578947368421
