"Rank","Club","Country","Level","Elo","From","To"
"36","Forest","ENG",1,1753.67468262,"2024-12-27","2024-12-29"
"37","Brighton","ENG",1,1752.44787598,"2024-12-28","2024-12-30"
"38","Lyon","FRA",1,1750.54736328,"2024-12-27","2024-12-30"
"39","RB Leipzig","GER",1,1750.37084961,"2024-12-27","2024-12-30"
"40","Feyenoord","NED",1,1748.0949707,"2024-12-27","2024-12-30"
"41","Stuttgart","GER",1,1743.98120117,"2024-12-22","2024-12-30"
"42","Brugge","BEL",1,1739.70056152,"2024-12-27","2024-12-30"
"43","West Ham","ENG",1,1739.24890137,"2024-12-27","2024-12-29"
"44","Villarreal","ESP",1,1737.39111328,"2024-12-27","2024-12-30"
"45","Sociedad","ESP",1,1736.19055176,"2024-12-27","2024-12-30"
"46","Brentford","ENG",1,1732.36254883,"2024-12-28","2024-12-30"
"47","Everton","ENG",1,1722.28198242,"2024-12-27","2024-12-29"
"48","Lens","FRA",1,1719.2232666,"2024-12-27","2024-12-30"
"49","Frankfurt","GER",1,1718.16760254,"2024-12-27","2024-12-30"
"50","Girona","ESP",1,1717.32397461,"2024-12-27","2024-12-30"
"51","Galatasaray","TUR",1,1714.02648926,"2024-12-23","2024-12-30"
"52","Torino","ITA",1,1713.1628418,"2024-12-23","2024-12-29"
"53","Brest","FRA",1,1710.02697754,"2024-12-16","2024-12-30"
"54","Mainz","GER",1,1709.296875,"2024-12-22","2024-12-30"
"55","Celtic","SCO",1,1702.16577148,"2024-12-27","2024-12-29"
"56","Slavia Praha","CZE",1,1696.82727051,"2024-12-22","2024-12-30"
"57","Wolves","ENG",1,1682.07531738,"2024-12-27","2024-12-29"
"58","Betis","ESP",1,1681.00146484,"2024-12-27","2024-12-30"
"59","Werder","GER",1,1678.71411133,"2024-12-27","2024-12-30"
"60","Ajax","NED",1,1678.31213379,"2024-12-27","2024-12-30"
"61","Udinese","ITA",1,1675.60961914,"2024-12-27","2024-12-29"
"62","Fenerbahce","TUR",1,1675.58837891,"2024-12-27","2024-12-30"
"63","Freiburg","GER",1,1673.98876953,"2024-12-27","2024-12-30"
"64","Genoa","ITA",1,1673.78601074,"2024-12-27","2024-12-28"
"65","St Gillis","BEL",1,1672.55834961,"2024-12-27","2024-12-30"
"66","Nice","FRA",1,1671.20947266,"2024-12-27","2024-12-30"
"67","Anderlecht","BEL",1,1670.87207031,"2024-12-28","2024-12-30"
"68","Gladbach","GER",1,1663.31665039,"2024-12-27","2024-12-30"
"69","Mallorca","ESP",1,1663.12963867,"2024-12-27","2024-12-30"
"70","Empoli","ITA",1,1662.33508301,"2024-12-27","2024-12-28"
"71","Toulouse","FRA",1,1662.26672363,"2024-12-27","2024-12-30"
"72","Rennes","FRA",1,1661.25073242,"2024-12-27","2024-12-30"
"73","Burnley","ENG",2,1660.97424316,"2024-12-27","2024-12-29"
"74","Wolfsburg","GER",1,1660.8548584,"2024-12-27","2024-12-30"
"75","Osasuna","ESP",1,1660.63745117,"2024-12-27","2024-12-30"
"76","Sevilla","ESP",1,1657.78125,"2024-12-27","2024-12-30"
"77","Celta","ESP",1,1655.64904785,"2024-12-27","2024-12-30"
"78","Leeds","ENG",2,1655.60522461,"2024-12-27","2024-12-29"
"79","Reims","FRA",1,1650.95837402,"2024-12-27","2024-12-30"
"80","Olympiakos","GRE",1,1638.91162109,"2024-12-27","2024-12-30"
"81","Braga","POR",1,1638.55456543,"2024-12-27","2024-12-29"
"82","Monza","ITA",1,1638.52770996,"2024-12-27","2024-12-28"
"83","Zenit","RUS",1,1634.92004395,"2024-12-27","2024-12-30"
"84","Sassuolo","ITA",2,1632.1862793,"2024-12-27","2024-12-29"
"85","Rayo Vallecano","ESP",1,1631.42919922,"2024-12-27","2024-12-30"
"86","Leicester","ENG",1,1631.34838867,"2024-12-27","2024-12-29"
"87","Genk","BEL",1,1629.46069336,"2024-12-27","2024-12-30"
"88","Sparta Praha","CZE",1,1624.62243652,"2024-12-27","2024-12-30"
"89","Strasbourg","FRA",1,1621.11376953,"2024-12-27","2024-12-30"
"90","Alaves","ESP",1,1618.25793457,"2024-12-27","2024-12-30"
"91","Union Berlin","GER",1,1616.83251953,"2024-12-27","2024-12-30"
"92","Rangers","SCO",1,1616.07495117,"2024-12-27","2024-12-29"
"93","Twente","NED",1,1614.98486328,"2024-12-27","2024-12-30"
"94","Las Palmas","ESP",1,1614.47351074,"2024-12-27","2024-12-30"
"95","Lecce","ITA",1,1614.12768555,"2024-12-27","2024-12-30"
"96","Viktoria Plzen","CZE",1,1613.38061523,"2024-12-27","2024-12-30"
"97","Hoffenheim","GER",1,1613.27770996,"2024-12-27","2024-12-30"
"98","Valencia","ESP",1,1612.65710449,"2024-12-27","2024-12-30"
"99","Verona","ITA",1,1610.78466797,"2024-12-27","2024-12-30"
"100","Alkmaar","NED",1,1610.66149902,"2024-12-27","2024-12-30"
"None","Crvena Zvezda","SRB",1,1610.52783203,"2024-12-23","2024-12-30"
"None","Auxerre","FRA",1,1609.45129395,"2024-12-15","2024-12-30"
"None","Getafe","ESP",1,1608.53234863,"2024-12-22","2024-12-30"
"None","Sheffield United","ENG",2,1604.46203613,"2024-12-27","2024-12-29"
"None","Cagliari","ITA",1,1600.62451172,"2024-12-23","2024-12-28"
"None","Guimaraes","POR",1,1599.6574707,"2024-12-24","2024-12-29"
"None","FC Krasnodar","RUS",1,1595.18713379,"2024-12-09","2024-12-30"
"None","Spartak Moskva","RUS",1,1590.59326172,"2024-12-08","2024-12-30"
"None","Parma","ITA",1,1590.46105957,"2024-12-23","2024-12-28"
"None","Antwerp","BEL",1,1589.61425781,"2024-12-27","2024-12-30"
"None","Ipswich","ENG",1,1587.00390625,"2024-12-28","2024-12-30"
"None","Augsburg","GER",1,1585.06091309,"2024-12-22","2024-12-30"
"None","Montpellier","FRA",1,1584.84143066,"2024-12-16","2024-12-30"
"None","PAOK","GRE",1,1584.82446289,"2024-12-23","2024-12-30"
"None","Sturm Graz","AUT",1,1584.32507324,"2024-12-20","2024-12-30"
"None","Gent","BEL",1,1583.52026367,"2024-12-27","2024-12-30"
"None","Bodoe Glimt","NOR",1,1582.45214844,"2024-12-20","2024-12-30"
"None","Lorient","FRA",2,1582.41320801,"2024-12-15","2024-12-30"
"None","FC Kobenhavn","DEN",1,1581.38916016,"2024-12-20","2024-12-30"
"None","St Pauli","GER",1,1578.01696777,"2024-12-22","2024-12-30"
"None","Almeria","ESP",2,1576.32495117,"2024-12-23","2024-12-30"
"None","Como","ITA",1,1575.92089844,"2024-12-24","2024-12-30"
"None","Espanyol","ESP",1,1574.23925781,"2024-12-23","2024-12-30"
"None","Venezia","ITA",1,1572.96923828,"2024-12-23","2024-12-29"
"None","Leganes","ESP",1,1572.94177246,"2024-12-23","2024-12-30"
"None","Southampton","ENG",1,1572.00158691,"2024-12-27","2024-12-29"
"None","Koeln","GER",2,1569.70214844,"2024-12-23","2024-12-30"
"None","AEK","GRE",1,1561.48083496,"2024-12-23","2024-12-30"
"None","Midtjylland","DEN",1,1559.75537109,"2024-12-20","2024-12-30"
"None","Utrecht","NED",1,1559.13220215,"2024-12-23","2024-12-30"
"None","Heidenheim","GER",1,1558.40710449,"2024-12-23","2024-12-30"
"None","Salzburg","AUT",1,1556.88085938,"2024-12-20","2024-12-30"
"None","Dynamo Moskva","RUS",1,1552.93725586,"2024-12-09","2024-12-30"
"None","Middlesbrough","ENG",2,1551.92932129,"2024-12-27","2024-12-29"
"None","West Brom","ENG",2,1551.39453125,"2024-12-27","2024-12-29"
"None","Spezia","ITA",2,1550.54711914,"2024-12-27","2024-12-29"
"None","Panathinaikos","GRE",1,1549.43322754,"2024-12-23","2024-12-30"
"None","Brondby","DEN",1,1548.23352051,"2024-12-20","2024-12-30"
"None","Hamburg","GER",2,1548.15368652,"2024-12-22","2024-12-30"
"None","Nantes","FRA",1,1547.92626953,"2024-12-16","2024-12-30"
"None","Lok Moskva","RUS",1,1547.65649414,"2024-12-09","2024-12-30"
"None","Elche","ESP",2,1547.56213379,"2024-12-23","2024-12-30"
"None","Valladolid","ESP",1,1547.41723633,"2024-12-21","2024-12-30"
"None","Levante","ESP",2,1547.10961914,"2024-12-23","2024-12-30"
"None","CSKA Moskva","RUS",1,1546.19458008,"2024-12-09","2024-12-30"
"None","Metz","FRA",2,1543.74560547,"2024-12-15","2024-12-30"
"None","Oviedo","ESP",2,1543.72668457,"2024-12-22","2024-12-30"
"None","Maccabi Haifa","ISR",1,1543.30407715,"2024-12-13","2024-12-30"
"None","Nordsjaelland","DEN",1,1541.03308105,"2024-12-20","2024-12-30"
"None","Sunderland","ENG",2,1540.89990234,"2024-12-27","2024-12-29"
"None","Shakhtar","UKR",1,1539.86889648,"2024-12-16","2024-12-30"
"None","Granada","ESP",2,1539.22509766,"2024-12-22","2024-12-30"
"None","Cremonese","ITA",2,1536.1965332,"2024-12-27","2024-12-29"
"None","M Tel Aviv","ISR",1,1534.82897949,"2024-12-17","2024-12-30"
"None","Razgrad","BUL",1,1534.09570312,"2024-12-20","2024-12-30"
"None","Bochum","GER",1,1532.21350098,"2024-12-23","2024-12-30"
"None","Pisa","ITA",2,1531.42895508,"2024-12-27","2024-12-29"
"None","Mechelen","BEL",1,1527.90234375,"2024-12-27","2024-12-30"
"None","Cercle Brugge","BEL",1,1527.28857422,"2024-12-28","2024-12-30"
"None","Dinamo Zagreb","CRO",1,1526.21142578,"2024-12-23","2024-12-30"
"None","Huesca","ESP",2,1524.89819336,"2024-12-23","2024-12-30"
"None","Karabakh Agdam","AZE",0,1524.88903809,"2024-12-13","2024-12-30"
"None","Malmoe","SWE",1,1524.77526855,"2024-12-20","2024-12-30"
"None","Duesseldorf","GER",2,1523.68701172,"2024-12-21","2024-12-30"
"None","Santander","ESP",2,1521.99621582,"2024-12-23","2024-12-30"
"None","Mirandes","ESP",2,1521.33325195,"2024-12-23","2024-12-30"
"None","Holstein","GER",1,1517.85742188,"2024-12-22","2024-12-30"
"None","Paris FC","FRA",2,1517.69750977,"2024-12-15","2024-12-30"
"None","Frosinone","ITA",2,1517.33874512,"2024-12-27","2024-12-29"
"None","Blackburn","ENG",2,1515.97094727,"2024-12-27","2024-12-29"
"None","Legia","POL",1,1515.83227539,"2024-12-20","2024-12-30"
"None","Le Havre","FRA",1,1515.55493164,"2024-12-16","2024-12-30"
"None","Watford","ENG",2,1515.30859375,"2024-12-27","2024-12-29"
"None","Cadiz","ESP",2,1512.34313965,"2024-12-23","2024-12-30"
"None","Karlsruhe","GER",2,1509.25402832,"2024-12-22","2024-12-30"
"None","Norwich","ENG",2,1509.19067383,"2024-12-27","2024-12-29"
"None","Eibar","ESP",2,1506.42883301,"2024-12-22","2024-12-30"
"None","Lech","POL",1,1505.84863281,"2024-12-20","2024-12-30"
"None","Aarhus","DEN",1,1505.80749512,"2024-12-20","2024-12-30"
"None","Rakow","POL",1,1505.26831055,"2024-12-20","2024-12-30"
"None","Saint-Etienne","FRA",1,1505.02392578,"2024-12-14","2024-12-30"
"None","Famalicao","POR",1,1503.82861328,"2024-12-22","2024-12-30"
"None","Angers","FRA",1,1501.55371094,"2024-12-16","2024-12-30"
"None","Young Boys","SUI",1,1500.29248047,"2024-12-20","2024-12-30"
"None","Ferencvaros","HUN",1,1498.55419922,"2024-12-16","2024-12-30"
"None","Molde","NOR",1,1497.55419922,"2024-12-20","2024-12-30"
"None","Brann","NOR",1,1496.36022949,"2024-12-20","2024-12-30"
"None","Moreirense","POR",1,1496.09570312,"2024-12-22","2024-12-28"
"None","Luton","ENG",2,1495.9798584,"2024-12-27","2024-12-29"
"None","Swansea","ENG",2,1495.79223633,"2024-12-27","2024-12-29"
"None","Leuven","BEL",1,1495.49609375,"2024-12-28","2024-12-30"
"None","Charleroi","BEL",1,1494.21936035,"2024-12-27","2024-12-30"
"None","Gijon","ESP",2,1494.16296387,"2024-12-22","2024-12-30"
"None","Elfsborg","SWE",1,1494.00219727,"2024-12-20","2024-12-30"
"None","Rapid Wien","AUT",1,1493.77502441,"2024-12-20","2024-12-30"
"None","Coventry","ENG",2,1493.40014648,"2024-12-27","2024-12-29"
"None","Dynamo Kyiv","UKR",1,1492.94396973,"2024-12-17","2024-12-30"
"None","Paderborn","GER",2,1492.4296875,"2024-12-22","2024-12-30"
"None","Bristol City","ENG",2,1492.26843262,"2024-12-27","2024-12-29"
"None","Darmstadt","GER",2,1491.55480957,"2024-12-23","2024-12-30"
"None","Millwall","ENG",2,1488.66687012,"2024-12-27","2024-12-29"
"None","Sheffield Weds","ENG",2,1487.78393555,"2024-12-27","2024-12-29"
"None","Go Ahead Eagles","NED",1,1487.67871094,"2024-12-22","2024-12-30"
"None","Catanzaro","ITA",2,1486.86230469,"2024-12-27","2024-12-29"
"None","Steaua","ROM",1,1486.53894043,"2024-12-24","2024-12-30"
"None","Banik Ostrava","CZE",1,1485.51330566,"2024-12-20","2024-12-30"
"None","Zaragoza","ESP",2,1484.91040039,"2024-12-22","2024-12-30"
"None","Jagiellonia","POL",1,1483.84094238,"2024-12-20","2024-12-30"
"None","Beer-Sheva","ISR",1,1480.49035645,"2024-12-15","2024-12-30"
"None","Hannover","GER",2,1479.97119141,"2024-12-23","2024-12-30"
"None","Sampdoria","ITA",2,1479.60644531,"2024-12-27","2024-12-29"
"None","Hammarby","SWE",1,1478.61486816,"2024-12-20","2024-12-30"
"None","Palermo","ITA",2,1478.39123535,"2024-12-27","2024-12-29"
"None","Clermont","FRA",2,1476.5838623,"2024-12-14","2024-12-30"
"None","Viking","NOR",1,1475.91125488,"2024-12-20","2024-12-30"
"None","Rostov","RUS",1,1474.72924805,"2024-12-08","2024-12-30"
"None","Randers","DEN",1,1473.6607666,"2024-12-20","2024-12-30"
"None","Rio Ave","POR",1,1473.20861816,"2024-12-24","2024-12-29"
"None","Hertha","GER",2,1472.3104248,"2024-12-23","2024-12-30"
"None","Albacete","ESP",2,1471.27685547,"2024-12-21","2024-12-30"
"None","Bueyueksehir","TUR",1,1470.81201172,"2024-12-24","2024-12-30"
"None","Austria Wien","AUT",1,1470.30871582,"2024-12-20","2024-12-30"
"None","Besiktas","TUR",1,1469.28015137,"2024-12-22","2024-12-30"
"None","St Truiden","BEL",1,1468.46374512,"2024-12-28","2024-12-30"
"None","Lugano","SUI",1,1468.12255859,"2024-12-20","2024-12-30"
"None","Malaga","ESP",2,1467.30895996,"2024-12-22","2024-12-30"
"None","Salernitana","ITA",2,1466.99707031,"2024-12-27","2024-12-29"
"None","Paphos","CYP",0,1466.84765625,"2024-12-20","2024-12-30"
"None","Bari","ITA",2,1466.15405273,"2024-12-27","2024-12-29"
"None","Casa Pia","POR",1,1465.49658203,"2024-12-21","2024-12-29"
"None","Djurgarden","SWE",1,1464.28564453,"2024-12-20","2024-12-30"
"None","Nijmegen","NED",1,1463.83679199,"2024-12-23","2024-12-30"
"None","Modena","ITA",2,1463.79333496,"2024-12-27","2024-12-29"
"None","Preston","ENG",2,1463.2298584,"2024-12-27","2024-12-29"
"None","Hajduk","CRO",1,1462.39929199,"2024-12-23","2024-12-30"
"None","Servette","SUI",1,1461.8326416,"2024-12-20","2024-12-30"
"None","Rodez","FRA",2,1461.76379395,"2024-12-14","2024-12-30"
"None","Schalke","GER",2,1460.61328125,"2024-12-21","2024-12-30"
"None","Standard","BEL",1,1459.71374512,"2024-12-27","2024-12-30"
"None","Westerlo","BEL",1,1459.6307373,"2024-12-27","2024-12-30"
"None","QPR","ENG",2,1459.03369141,"2024-12-27","2024-12-29"
"None","Gil Vicente","POR",1,1457.45056152,"2024-12-28","2024-12-30"
"None","Basel","SUI",1,1457.28552246,"2024-12-20","2024-12-30"
"None","Arouca","POR",1,1456.78955078,"2024-12-28","2024-12-30"
"None","Silkeborg","DEN",1,1455.90905762,"2024-12-20","2024-12-30"
"None","Trabzonspor","TUR",1,1455.86035156,"2024-12-23","2024-12-30"
"None","Juve Stabia","ITA",2,1454.44396973,"2024-12-27","2024-12-29"
"None","Burgos","ESP",2,1452.63781738,"2024-12-23","2024-12-30"
"None","Annecy","FRA",2,1452.36975098,"2024-12-15","2024-12-30"
"None","Rosenborg","NOR",1,1451.50866699,"2024-12-20","2024-12-30"
"None","Sittard","NED",1,1451.07287598,"2024-12-23","2024-12-30"
"None","Magdeburg","GER",2,1450.05883789,"2024-12-21","2024-12-30"
"None","Brescia","ITA",2,1449.20202637,"2024-12-27","2024-12-29"
"None","Santa Clara","POR",1,1449.08581543,"2024-12-23","2024-12-30"
"None","Rijeka","CRO",1,1448.79626465,"2024-12-23","2024-12-30"
"None","Lautern","GER",2,1448.23986816,"2024-12-23","2024-12-30"
"None","Omonia","CYP",0,1446.68115234,"2024-12-20","2024-12-30"
"None","Cosenza","ITA",2,1444.56713867,"2024-12-27","2024-12-29"
"None","Castellon","ESP",2,1444.50134277,"2024-12-23","2024-12-30"
"None","Guingamp","FRA",2,1444.25732422,"2024-12-14","2024-12-30"
"None","Mantova","ITA",2,1444.21911621,"2024-12-27","2024-12-29"
"None","Bastia","FRA",2,1444.18139648,"2024-12-14","2024-12-30"
"None","Hull","ENG",2,1443.72766113,"2024-12-27","2024-12-29"
"None","Depor","ESP",2,1443.56762695,"2024-12-23","2024-12-30"
"None","Gornik","POL",1,1443.27001953,"2024-12-20","2024-12-30"
"None","Cordoba","ESP",2,1443.26306152,"2024-12-22","2024-12-30"
"None","Carrarese","ITA",2,1442.08251953,"2024-12-27","2024-12-29"
"None","Cesena","ITA",2,1441.2109375,"2024-12-27","2024-12-29"
"None","Rubin Kazan","RUS",1,1441.09082031,"2024-12-08","2024-12-30"
"None","Pogon","POL",1,1440.96557617,"2024-12-20","2024-12-30"
"None","StGallen","SUI",1,1439.58618164,"2024-12-20","2024-12-30"
"None","Aris","GRE",1,1439.52783203,"2024-12-24","2024-12-30"
"None","Mlada Boleslav","CZE",1,1438.87548828,"2024-12-20","2024-12-30"
"None","Stoke","ENG",2,1438.72851562,"2024-12-27","2024-12-29"
"None","Larnaca","CYP",0,1438.69396973,"2024-12-20","2024-12-30"
"None","Derby","ENG",2,1436.65344238,"2024-12-27","2024-12-29"
"None","Elversberg","GER",2,1436.43103027,"2024-12-21","2024-12-30"
"None","Laval","FRA",2,1436.12158203,"2024-12-14","2024-12-30"
"None","Olimpija Ljubljana","SVN",1,1435.54675293,"2024-12-20","2024-12-30"
"None","APOEL","CYP",0,1432.52429199,"2024-12-20","2024-12-30"
"None","Sparta Rotterdam","NED",1,1430.42602539,"2024-12-23","2024-12-30"
"None","CFR Cluj","ROM",1,1429.5098877,"2024-12-23","2024-12-30"
"None","AIK","SWE",1,1429.11694336,"2024-12-20","2024-12-30"
"None","Jablonec","CZE",1,1426.62084961,"2024-12-20","2024-12-30"
"None","Viborg","DEN",1,1426.29760742,"2024-12-20","2024-12-30"
"None","Kasimpasa","TUR",1,1425.7298584,"2024-12-24","2024-12-30"
"None","Dunkerque","FRA",2,1424.1385498,"2024-12-17","2024-12-30"
"None","Reggiana","ITA",2,1423.46166992,"2024-12-27","2024-12-29"
"None","Amiens","FRA",2,1422.33105469,"2024-12-14","2024-12-30"
"None","Zuerich","SUI",1,1420.42419434,"2024-12-20","2024-12-30"
"None","Cracovia","POL",1,1420.09838867,"2024-12-20","2024-12-30"
"None","Tenerife","ESP",2,1418.7121582,"2024-12-23","2024-12-30"
"None","Heerenveen","NED",1,1418.42199707,"2024-12-22","2024-12-30"
"None","Lausanne","SUI",1,1418.40368652,"2024-12-20","2024-12-30"
"None","Samsunspor","TUR",1,1417.92211914,"2024-12-22","2024-12-30"
"None","Fuerth","GER",2,1417.83166504,"2024-12-22","2024-12-30"
"None","Alanyaspor","TUR",1,1417.34289551,"2024-12-22","2024-12-30"
"None","Cittadella","ITA",2,1416.83862305,"2024-12-27","2024-12-29"
"None","Piast Gliwice","POL",1,1416.47729492,"2024-12-20","2024-12-30"
"None","Eldense","ESP",2,1415.80310059,"2024-12-23","2024-12-30"
"None","Hradec Kralove","CZE",1,1415.11535645,"2024-12-20","2024-12-30"
"None","Slovan Bratislava","SLK",0,1414.15673828,"2024-12-12","2024-12-30"
"None","Caen","FRA",2,1413.67089844,"2024-12-17","2024-12-30"
"None","Ferrol","ESP",2,1413.23803711,"2024-12-22","2024-12-30"
"None","Osijek","CRO",1,1413.18432617,"2024-12-21","2024-12-30"
"None","Portsmouth","ENG",2,1412.85803223,"2024-12-27","2024-12-29"
"None","Estoril","POR",1,1411.46923828,"2024-12-24","2024-12-28"
"None","Mjaellby","SWE",1,1411.22644043,"2024-12-20","2024-12-30"
"None","Troyes","FRA",2,1411.12976074,"2024-12-14","2024-12-30"
"None","Farense","POR",1,1410.7746582,"2024-12-22","2024-12-29"
"None","Wolfsberg","AUT",1,1410.50830078,"2024-12-20","2024-12-30"
"None","Dender","BEL",1,1410.36083984,"2024-12-28","2024-12-30"
"None","Haecken","SWE",1,1409.7755127,"2024-12-20","2024-12-30"
"None","Pau","FRA",2,1408.60656738,"2024-12-14","2024-12-30"
"None","Suedtirol","ITA",2,1408.47741699,"2024-12-27","2024-12-29"
"None","Nuernberg","GER",2,1407.63317871,"2024-12-22","2024-12-30"
"None","Puskas Akademia","HUN",1,1407.57226562,"2024-12-15","2024-12-30"
"None","LASK","AUT",1,1406.88574219,"2024-12-20","2024-12-30"
"None","Zwolle","NED",1,1404.4543457,"2024-12-21","2024-12-30"
"None","Craiova","ROM",1,1403.65966797,"2024-12-22","2024-12-30"
"None","Slovan Liberec","CZE",1,1403.51611328,"2024-12-20","2024-12-30"
"None","Kryliya Sovetov","RUS",1,1402.77941895,"2024-12-08","2024-12-30"
"None","AVS Futebol","POR",1,1399.58776855,"2024-12-22","2024-12-28"
"None","Boavista","POR",1,1397.97314453,"2024-12-22","2024-12-28"
"None","Luzern","SUI",1,1397.10827637,"2024-12-20","2024-12-30"
"None","Sivasspor","TUR",1,1395.90393066,"2024-12-22","2024-12-30"
"None","Estrela Amadora","POR",1,1394.6973877,"2024-12-24","2024-12-28"
"None","Slovacko","CZE",1,1394.25817871,"2024-12-20","2024-12-30"
"None","Hartberg","AUT",1,1393.45861816,"2024-12-20","2024-12-30"
"None","Nacional","POR",1,1393.38635254,"2024-12-24","2024-12-29"
"None","Konyaspor","TUR",1,1391.54577637,"2024-12-20","2024-12-30"
"None","Cardiff","ENG",2,1391.03735352,"2024-12-27","2024-12-29"
"None","Goeztepe","TUR",1,1390.86035156,"2024-12-23","2024-12-30"
"None","Oxford","ENG",2,1388.50012207,"2024-12-27","2024-12-29"
"None","Cartagena","ESP",2,1387.39477539,"2024-12-21","2024-12-30"
"None","Plymouth","ENG",2,1387.33752441,"2024-12-27","2024-12-29"
"None","Eyupspor","TUR",1,1385.7989502,"2024-12-21","2024-12-30"
"None","Cherno More","BUL",1,1385.69384766,"2024-12-13","2024-12-30"
"None","Antalyaspor","TUR",1,1384.80822754,"2024-12-23","2024-12-30"
"None","Willem II","NED",1,1384.33862305,"2024-12-23","2024-12-30"
"None","Aberdeen","SCO",1,1384.10241699,"2024-12-27","2024-12-29"
"None","Sigma Olomouc","CZE",1,1383.27099609,"2024-12-20","2024-12-30"
"None","Grenoble","FRA",2,1382.06530762,"2024-12-15","2024-12-30"
"None","Muenster","GER",2,1378.42602539,"2024-12-22","2024-12-30"
"None","Trnava","SLK",0,1377.41955566,"2024-12-12","2024-12-30"
"None","Maribor","SVN",1,1376.85705566,"2024-12-20","2024-12-30"
"None","Sheriff Tiraspol","MOL",0,1376.75268555,"2024-12-20","2024-12-30"
"None","Terek Grozny","RUS",1,1373.49609375,"2024-12-09","2024-12-30"
"None","IK Sirius","SWE",1,1373.47631836,"2024-12-20","2024-12-30"
"None","Ulm","GER",2,1372.83312988,"2024-12-22","2024-12-30"
"None","Tromso","NOR",1,1372.58337402,"2024-12-20","2024-12-30"
"None","Gaziantep FK","TUR",1,1372.25415039,"2024-12-23","2024-12-30"
"None","Ruzomberok","SLK",0,1371.51733398,"2024-12-12","2024-12-30"
"None","Hapoel Haifa","ISR",1,1371.48376465,"2024-12-15","2024-12-30"
"None","Levski","BUL",1,1369.79492188,"2024-12-13","2024-12-30"
"None","Sepsi","ROM",1,1369.67687988,"2024-12-21","2024-12-30"
"None","Breda","NED",1,1368.90209961,"2024-12-22","2024-12-30"
"None","Universitatea Cluj","ROM",1,1368.48217773,"2024-12-21","2024-12-30"
"None","Fakel Voronezh","RUS",1,1367.53063965,"2024-12-09","2024-12-30"
"None","Fredrikstad","NOR",1,1367.21252441,"2024-12-20","2024-12-30"
"None","Ajaccio","FRA",2,1365.40783691,"2024-12-14","2024-12-30"
"None","Rapid Bucuresti","ROM",1,1364.97033691,"2024-12-23","2024-12-30"
"None","Hearts","SCO",1,1363.62231445,"2024-12-27","2024-12-29"
"None","Sion","SUI",1,1363.50854492,"2024-12-20","2024-12-30"
"None","Widzew","POL",1,1361.67919922,"2024-12-20","2024-12-30"
"None","Sarpsborg","NOR",1,1360.72314453,"2024-12-20","2024-12-30"
"None","Rizespor","TUR",1,1359.97949219,"2024-12-23","2024-12-30"
"None","Kortrijk","BEL",1,1359.63977051,"2024-12-27","2024-12-30"
