"Rank","Club","Country","Level","Elo","From","To"
"None","Slovan Bratislava","SLK",0,1408.17773438,"2025-01-30","2025-06-12"
"None","Muenster","GER",2,1408.00952148,"2025-05-19","2025-06-12"
"None","Cracovia","POL",1,1407.8190918,"2025-05-25","2025-06-12"
"None","Alanyaspor","TUR",1,1407.70080566,"2025-06-01","2025-06-12"
"None","Reggiana","ITA",2,1407.28857422,"2025-06-01","2025-06-12"
"None","Hearts","SCO",1,1406.42919922,"2025-05-19","2025-06-12"
"None","Fuerth","GER",2,1404.25488281,"2025-05-19","2025-06-12"
"None","Tromso","NOR",1,1403.46374512,"2025-06-01","2025-06-12"
"None","Lausanne","SUI",1,1403.11108398,"2025-05-25","2025-06-12"
"None","Lugano","SUI",1,1402.29016113,"2025-05-25","2025-06-12"
"None","Dender","BEL",1,1401.82897949,"2025-05-25","2025-06-12"
"None","Haecken","SWE",1,1399.73974609,"2025-06-02","2025-06-12"
"None","APOEL","CYP",0,1397.4810791,"2025-03-14","2025-06-12"
"None","Levski","BUL",1,1397.12976074,"2025-05-27","2025-06-12"
"None","Ajaccio","FRA",2,1396.27990723,"2025-06-01","2025-06-12"
"None","Sarpsborg","NOR",1,1394.88232422,"2025-06-02","2025-06-12"
"None","Fredrikstad","NOR",1,1391.56896973,"2025-06-02","2025-06-12"
"None","Amiens","FRA",2,1391.27893066,"2025-06-01","2025-06-12"
"None","StGallen","SUI",1,1391.01086426,"2025-05-23","2025-06-12"
"None","Kortrijk","BEL",1,1390.52392578,"2025-05-11","2025-06-12"
"None","Korona","POL",1,1390.20080566,"2025-05-25","2025-06-12"
"None","Kryliya Sovetov","RUS",1,1389.4510498,"2025-05-25","2025-06-12"
"None","Kayseri","TUR",1,1389.22131348,"2025-06-02","2025-06-12"
"None","Pau","FRA",2,1389.0255127,"2025-06-01","2025-06-12"
"None","Farense","POR",1,1388.83337402,"2025-05-18","2025-06-12"
"None","Rizespor","TUR",1,1388.77099609,"2025-06-01","2025-06-12"
"None","Katowice","POL",1,1388.51147461,"2025-05-25","2025-06-12"
"None","Konyaspor","TUR",1,1388.09277344,"2025-06-01","2025-06-12"
"None","Zuerich","SUI",1,1387.01550293,"2025-05-23","2025-06-12"
"None","Goeztepe","TUR",1,1384.90710449,"2025-05-31","2025-06-12"
"None","Sigma Olomouc","CZE",1,1384.57910156,"2025-05-25","2025-06-12"
"None","Luzern","SUI",1,1383.43859863,"2025-05-25","2025-06-12"
"None","Olexandriya","UKR",1,1381.87268066,"2025-05-25","2025-06-12"
"None","Maribor","SVN",1,1380.29211426,"2025-05-26","2025-06-12"
"None","Celje","SVN",1,1379.47290039,"2025-05-26","2025-06-12"
"None","Paksi","HUN",1,1378.65771484,"2025-05-24","2025-06-12"
"None","Universitatea Cluj","ROM",1,1378.57189941,"2025-05-25","2025-06-12"
"None","Waalwijk","NED",1,1378.1862793,"2025-05-19","2025-06-12"
"None","Red Star","FRA",2,1378.0760498,"2025-06-01","2025-06-12"
"None","Terek Grozny","RUS",1,1378.00061035,"2025-05-25","2025-06-12"
"None","Slask","POL",1,1377.68811035,"2025-05-25","2025-06-12"
"None","Sheriff Tiraspol","MOL",0,1376.75268555,"2025-01-01","2025-06-12"
"None","Hartberg","AUT",1,1376.58984375,"2025-05-27","2025-06-12"
"None","Trnava","SLK",0,1375.41516113,"2025-01-30","2025-06-12"
"None","Rapid Bucuresti","ROM",1,1375.25671387,"2025-05-25","2025-06-12"
"None","Braunschweig","GER",2,1374.53991699,"2025-05-19","2025-06-12"
"None","CSKA Sofia","BUL",1,1374.2010498,"2025-06-01","2025-06-12"
"None","GAIS","SWE",1,1372.57067871,"2025-06-01","2025-06-12"
"None","IK Sirius","SWE",1,1371.16271973,"2025-06-02","2025-06-12"
"None","Eyupspor","TUR",1,1370.41467285,"2025-05-25","2025-06-12"
"None","Ruzomberok","SLK",0,1369.51293945,"2025-01-30","2025-06-12"
"None","Radomiak","POL",1,1367.92749023,"2025-05-25","2025-06-12"
"None","Estrela Amadora","POR",1,1367.9029541,"2025-05-18","2025-06-12"
"None","Gaziantep FK","TUR",1,1367.83752441,"2025-06-01","2025-06-12"
"None","Cittadella","ITA",2,1367.7401123,"2025-06-01","2025-06-12"
"None","St Mirren","SCO",1,1367.06835938,"2025-05-18","2025-06-12"
"None","Goeteborg","SWE",1,1366.38745117,"2025-06-02","2025-06-12"
"None","Teplice","CZE",1,1364.72058105,"2025-05-26","2025-06-12"
"None","Hapoel Haifa","ISR",1,1364.0723877,"2025-05-25","2025-06-12"
"None","Ulm","GER",2,1363.4609375,"2025-05-19","2025-06-12"
