"Club","Points","GF","GA","GD","Group","Europa","UL","n_teams","Rank","Elo","Tilt","Pass","seed"
"Crvena Zvezda",88,88,6,82,"SRB",1,2,16,1,1580.66638184,1.29866004768541,0,1
"Backa Topola",68,63,32,31,"SRB",1,2,16,2,1247.67456055,1.39101742294952,0,1
"Partizan",63,60,31,29,"SRB",1,2,16,3,1354.12451172,1.28789898886726,0,1
"Novi Sad",49,43,38,5,"SRB",1,2,16,4,1246.3963623,1.46821760805194,0,1
"Kragujevac",47,42,31,11,"SRB",1,2,16,5,1218.0826416,1.43430388251704,0,1
"Mladost Lucani",46,36,35,1,"SRB",1,2,16,6,1135.52954102,1.17136994695657,0,1
"Tekstilac Odzaci",45,31,42,-11,"SRB",1,2,16,7,1044.80822754,1.23787333052032,0,1
"Cukaricki",41,30,31,-1,"SRB",1,2,16,8,1185.57104492,1.24111055137403,0,1
"Zeleznicar Pancevo",38,30,39,-9,"SRB",1,2,16,9,1139.875,1.22491809988066,0,1
"Zlatibor",37,33,46,-13,"SRB",1,2,16,10,1108.2800293,1.26819316254562,0,1
"Nis",35,29,37,-8,"SRB",1,2,16,11,1094.78491211,1.19248077033843,0,1
"Krusevac",33,30,46,-16,"SRB",1,2,16,12,1095.61401367,1.15125396898585,0,1
"IMT",27,31,50,-19,"SRB",1,2,16,13,1137.99658203,1.50871665456283,0,1
"OFK",27,27,49,-22,"SRB",1,2,16,14,1137.03930664,1.30173956196933,0,1
"Novi Pazar",20,26,50,-24,"SRB",1,2,16,15,1200.30761719,1.2962365828533,0,1
"Jedinstvo Ub",16,29,65,-36,"SRB",1,2,16,16,1021.19543457,1.48692906224236,0,1
"Barcelona",94,87,17,70,"ESP",2,0,20,1,1945.43041992,1.61842105263158,4,1
"Real Madrid",83,76,37,39,"ESP",2,0,20,2,1936.12731934,1.48684210526316,4,1
"Atletico",76,67,34,33,"ESP",2,0,20,3,1855.34960938,1.48684210526316,4,1
"Betis",68,52,37,15,"ESP",2,0,20,4,1742.14355469,1.22368421052632,4,1
"Villarreal",60,61,46,15,"ESP",2,0,20,5,1785.54626465,1.71052631578947,4,1
"Celta",60,56,51,5,"ESP",2,0,20,6,1689.27087402,1.35526315789474,4,1
"Valencia",58,47,39,8,"ESP",2,0,20,7,1679.41589355,1.11842105263158,4,1
"Girona",56,58,62,-4,"ESP",2,0,20,8,1637.03479004,1.72368421052632,4,1
"Alaves",54,51,50,1,"ESP",2,0,20,9,1644.11938477,1.07894736842105,4,1
"Osasuna",53,51,50,1,"ESP",2,0,20,10,1697.22412109,1.32894736842105,4,1
"Bilbao",51,55,48,7,"ESP",2,0,20,11,1789.30895996,1.28947368421053,4,1
"Sevilla",49,43,54,-11,"ESP",2,0,20,12,1637.12207031,1.34210526315789,4,1
"Sociedad",47,45,49,-4,"ESP",2,0,20,13,1667.3203125,1.18421052631579,4,1
"Espanyol",45,37,51,-14,"ESP",2,0,20,14,1634.66186523,1.17919172136955,4,1
"Las Palmas",40,39,58,-19,"ESP",2,0,20,15,1563.5020752,1.05263157894737,4,1
"Getafe",40,42,72,-30,"ESP",2,0,20,16,1625.7598877,1.26315789473684,4,1
"Rayo Vallecano",38,38,52,-14,"ESP",2,0,20,17,1658.47595215,1.01315789473684,4,1
"Mallorca",34,38,57,-19,"ESP",2,0,20,18,1641.24829102,1.01315789473684,4,1
"Leganes",34,36,59,-23,"ESP",2,0,20,19,1599.02893066,1.4586588433442,4,1
"Valladolid",24,23,79,-56,"ESP",2,0,20,20,1467.32788086,1.41462283572158,4,1
"Olympiakos",67,65,16,49,"GRE",2,2,14,1,1670.36560059,1.58333333333333,0,1
"AEK",62,56,20,36,"GRE",2,2,14,2,1516.50268555,1.59722222222222,0,1
"Panathinaikos",61,62,21,41,"GRE",2,2,14,3,1535.48669434,1.65277777777778,0,1
"Aris",45,51,33,18,"GRE",2,2,14,4,1445.51269531,1.31944444444444,0,1
"PAOK",44,55,38,17,"GRE",2,2,14,5,1544.87280273,1.68055555555556,0,1
"Levadeiakos",35,37,42,-5,"GRE",2,2,14,6,1325.5090332,1.23879736067492,0,1
"Atromitos",34,33,41,-8,"GRE",2,2,14,7,1330.74499512,1.34926470588235,0,1
"Panetolikos",28,36,50,-14,"GRE",2,2,14,8,1291.86462402,1.28860294117647,0,1
"OFI",26,24,46,-22,"GRE",2,2,14,9,1302.8425293,1.30514705882353,0,1
"Kalithea",24,34,48,-14,"GRE",2,2,14,10,1247.60107422,1.33841853578263,0,1
"Lamia",23,33,59,-26,"GRE",2,2,14,11,1158.99023438,1.69444444444444,0,1
"NFC Volos",22,22,43,-21,"GRE",2,2,14,12,1262.30859375,1.38694852941176,0,1
"Panserraikos",22,31,55,-24,"GRE",2,2,14,13,1238.79187012,1.36580882352941,0,1
"Asteras Tripolis",22,23,50,-27,"GRE",2,2,14,14,1305.14465332,1.43566176470588,0,1
"PSV",87,99,27,72,"NED",1,1,18,1,1797.03527832,1.94117647058824,2,1
"Feyenoord",83,87,21,66,"NED",1,1,18,2,1738.36352539,1.73529411764706,2,1
"Alkmaar",71,66,35,31,"NED",1,1,18,3,1626.27563477,1.60294117647059,2,1
"Twente",67,63,43,20,"NED",1,1,18,4,1576.95092773,1.54411764705882,2,1
"Ajax",59,81,49,32,"NED",1,1,18,5,1663.94873047,1.98529411764706,2,1
"Groningen",51,49,55,-6,"NED",1,1,18,6,1410.41210938,1.37410011571954,2,1
"Heracles",48,52,54,-2,"NED",1,1,18,7,1409.36730957,1.69117647058824,2,1
"Sparta Rotterdam",48,47,50,-3,"NED",1,1,18,8,1493.50878906,1.45588235294118,2,1
"Zwolle",44,55,58,-3,"NED",1,1,18,9,1462.80810547,1.64705882352941,2,1
"Waalwijk",44,45,54,-9,"NED",1,1,18,10,1378.1862793,1.38235294117647,2,1
"Go Ahead Eagles",43,44,53,-9,"NED",1,1,18,11,1498.68859863,1.36764705882353,2,1
"Heerenveen",38,41,60,-19,"NED",1,1,18,12,1445.41308594,1.80882352941176,2,1
"Utrecht",37,41,55,-14,"NED",1,1,18,13,1584.75134277,1.41176470588235,2,1
"Sittard",36,48,64,-16,"NED",1,1,18,14,1420.51062012,1.36764705882353,2,1
"Nijmegen",33,51,71,-20,"NED",1,1,18,15,1505.06628418,1.75,2,1
"Breda",24,28,64,-36,"NED",1,1,18,16,1351.14208984,1.38147027308974,2,1
"Almere",23,27,67,-40,"NED",1,1,18,17,1349.17346191,1.35294117647059,2,1
"Willem II",16,24,68,-44,"NED",1,1,18,18,1324.44934082,1.35697196274424,2,1
"Sturm Graz",44,37,15,22,"AUT",1,1,12,1,1553.17565918,1.36422413056778,1,1
"Austria Wien",44,25,13,12,"AUT",1,1,12,2,1476.18188477,1.29303451869871,1,1
"Salzburg",43,36,21,15,"AUT",1,1,12,3,1558.85534668,1.16297921224525,1,1
"Wolfsberg",42,35,16,19,"AUT",1,1,12,4,1480.16235352,1.2833878963235,1,1
"Hartberg",34,29,26,3,"AUT",1,1,12,5,1376.58984375,1.26163678937116,1,1
"Rapid Wien",29,25,23,2,"AUT",1,1,12,6,1436.13745117,1.18108867051404,1,1
"GAK",28,25,29,-4,"AUT",1,1,12,7,1271.65209961,1.45868334545408,1,1
"LASK",25,27,33,-6,"AUT",1,1,12,8,1443.68151855,1.32700549009372,1,1
"BW Linz",23,19,34,-15,"AUT",1,1,12,9,1339.27709961,1.26057100462897,1,1
"Klagenfurt",17,19,31,-12,"AUT",1,1,12,10,1264.28808594,1.20890783514476,1,1
"Wattens",16,23,38,-15,"AUT",1,1,12,11,1276.56164551,1.42078678059832,1,1
"Altach",16,19,40,-21,"AUT",1,1,12,12,1278.7043457,1.24574799690083,1,1
"Celtic",53,61,18,43,"SCO",1,2,12,1,1662.38671875,1.64473684210526,0,1
"Rangers",48,56,22,34,"SCO",1,2,12,2,1587.43994141,1.56578947368421,0,1
"St Mirren",34,31,25,6,"SCO",1,2,12,3,1367.06835938,1.28947368421053,0,1
"Hearts",30,41,38,3,"SCO",1,2,12,4,1406.42919922,1.26315789473684,0,1
"Aberdeen",29,31,35,-4,"SCO",1,2,12,5,1338.04016113,1.31578947368421,0,1
"St Johnstone",27,24,33,-9,"SCO",1,2,12,6,1221.51623535,1.09210526315789,0,1
"Kilmarnock",27,23,32,-9,"SCO",1,2,12,7,1325.25195312,1.18421052631579,0,1
"Ross County",27,27,45,-18,"SCO",1,2,12,8,1244.04736328,1.38157894736842,0,1
"Hibernian",26,24,28,-4,"SCO",1,2,12,9,1429.87890625,1.46052631578947,0,1
"Dundee United",26,27,32,-5,"SCO",1,2,12,10,1302.08666992,1.34755095288997,0,1
"Motherwell",22,22,41,-19,"SCO",1,2,12,11,1309.34545898,1.51315789473684,0,1
"Dundee",17,22,40,-18,"SCO",1,2,12,12,1282.87023926,1.53947368421053,0,1
"Varazdin",37,36,20,16,"CRO",1,1,10,1,1347.17712402,1.34820295041238,1,1
"Rijeka",34,27,13,14,"CRO",1,1,10,2,1442.31982422,1.25778159902124,1,1
"Dinamo Zagreb",34,28,19,9,"CRO",1,1,10,3,1527.02502441,1.32631756464055,1,1
"Slaven Belupo",27,21,24,-3,"CRO",1,1,10,4,1324.84362793,1.19558653736835,1,1
"Osijek",25,19,18,1,"CRO",1,1,10,5,1353.87341309,1.17058599961792,1,1
"Istra 1961",22,23,21,2,"CRO",1,1,10,6,1362.64489746,1.23442181475496,1,1
"Lok Zagreb",22,20,23,-3,"CRO",1,1,10,7,1339.54748535,1.16229404431714,1,1
"Hajduk",20,18,21,-3,"CRO",1,1,10,8,1435.51623535,1.2668967021121,1,1
"Sibenik",15,15,29,-14,"CRO",1,1,10,9,1204.60949707,1.29264355958737,1,1
"HNK Gorica",15,19,38,-19,"CRO",1,1,10,10,1266.1652832,1.17753873851016,1,1
"Steaua",83,68,17,51,"ROM",1,1,17,1,1555.09423828,1.26912594307744,1,1
"CFR Cluj",60,66,33,33,"ROM",1,1,17,2,1478.15344238,1.31362218931028,1,1
"Rapid Bucuresti",54,42,30,12,"ROM",1,1,17,3,1375.25671387,1.4654145302275,1,1
"Iasi",53,53,43,10,"ROM",1,1,17,4,1254.77526855,1.23454153560812,1,1
"Universitatea Cluj",51,44,35,9,"ROM",1,1,17,5,1378.57189941,1.38936737024255,1,1
"Craiova",50,42,32,10,"ROM",1,1,17,6,1424.82824707,1.21481429079761,1,1
"Sepsi",45,42,48,-6,"ROM",1,1,17,7,1290.68066406,1.30011053516316,1,1
"Viitorul",45,40,51,-11,"ROM",1,1,17,8,1331.0637207,1.22925048430379,1,1
"Botosani",43,40,43,-3,"ROM",1,1,17,9,1267.04626465,1.24267345857631,1,1
"Dinamo Bucuresti",40,38,38,0,"ROM",1,1,17,10,1317.17785645,1.36897393624508,1,1
"Petrolul Ploiesti",37,39,43,-4,"ROM",1,1,17,11,1280.50402832,1.26958160763657,1,1
"Hermannstadt",36,42,46,-4,"ROM",1,1,17,12,1329.19116211,1.37685329245154,1,1
"UTA Arad",36,38,51,-13,"ROM",1,1,17,13,1288.83398438,1.30743413241517,1,1
"Otelul Galati",35,36,46,-10,"ROM",1,1,17,14,1304.88562012,1.31532533382119,1,1
"Unirea Slobozia",33,37,54,-17,"ROM",1,1,17,15,1225.63012695,1.2607192070558,1,1
"Corvinul Hunedoara",24,33,58,-25,"ROM",1,1,17,16,1218.04663086,1.27854205914531,1,1
"Gloria Buzau",21,22,54,-32,"ROM",1,1,17,17,1151.76306152,1.25364695985276,1,1
"Bodoe Glimt",66,65,24,41,"NOR",1,1,16,1,1616.89807129,1.34119747123175,0,1
"Viking",64,60,25,35,"NOR",1,1,16,2,1527.25927734,1.31971934387395,0,1
"Fredrikstad",57,45,28,17,"NOR",1,1,16,3,1391.56896973,1.39451849533731,0,1
"Rosenborg",49,41,29,12,"NOR",1,1,16,4,1479.81652832,1.40204639087841,0,1
"Brann",46,44,36,8,"NOR",1,1,16,5,1497.65393066,1.37073106673981,0,1
"Molde",45,44,41,3,"NOR",1,1,16,6,1458.12585449,1.25747322784439,0,1
"Tromso",43,45,45,0,"NOR",1,1,16,7,1403.46374512,1.3398130155452,0,1
"Ham-Kam",40,43,45,-2,"NOR",1,1,16,8,1325.42089844,1.33411196914244,0,1
"Sandefjord",39,40,44,-4,"NOR",1,1,16,9,1352.60778809,1.43079015201141,0,1
"Stromsgodset",37,45,44,1,"NOR",1,1,16,10,1325.36743164,1.4433023701701,0,1
"Valerenga",35,30,57,-27,"NOR",1,1,16,11,1299.21533203,1.36107263534891,0,1
"Kristiansund",34,39,48,-9,"NOR",1,1,16,12,1312.94335938,1.30280021587807,0,1
"KFUM Oslo",34,26,43,-17,"NOR",1,1,16,13,1297.58227539,1.17463665997609,0,1
"Haugesund",29,31,49,-18,"NOR",1,1,16,14,1265.59619141,1.25265993635607,0,1
"Bryne",27,28,44,-16,"NOR",1,1,16,15,1308.08203125,1.1195041371109,0,1
"Sarpsborg",25,31,55,-24,"NOR",1,1,16,16,1394.88232422,1.23318213932466,0,1
"Brugge",69,66,20,46,"BEL",1,1,16,1,1747.07775879,1.475,2,1
"St Gillis",69,67,25,42,"BEL",1,1,16,2,1730.55700684,1.5375,2,1
"Genk",58,45,28,17,"BEL",1,1,16,3,1634.98864746,1.31666666666667,2,1
"Anderlecht",52,42,30,12,"BEL",1,1,16,4,1586.59558105,1.4,2,1
"Gent",48,46,33,13,"BEL",1,1,16,5,1483.28747559,1.57738095238095,2,1
"Antwerp",48,43,37,6,"BEL",1,1,16,6,1538.63525391,1.3375,2,1
"Cercle Brugge",41,34,31,3,"BEL",1,1,16,7,1451.55505371,1.3,2,1
"Leuven",39,41,50,-9,"BEL",1,1,16,8,1431.72802734,1.206017067349,2,1
"Charleroi",38,31,40,-9,"BEL",1,1,16,9,1526.21923828,1.23611111111111,2,1
"Mechelen",35,39,46,-7,"BEL",1,1,16,10,1484.82263184,1.3875,2,1
"St Truiden",35,29,50,-21,"BEL",1,1,16,11,1445.72253418,1.375,2,1
"Westerlo",34,38,46,-8,"BEL",1,1,16,12,1470.00036621,1.64144736842105,2,1
"Standard",33,37,49,-12,"BEL",1,1,16,13,1433.52770996,1.37434210526316,2,1
"Dender",30,28,50,-22,"BEL",1,1,16,14,1401.82897949,1.22987683307531,2,1
"Kortrijk",25,30,56,-26,"BEL",1,1,16,15,1390.52392578,1.33333333333333,2,1
"Beerschot AC",20,25,50,-25,"BEL",1,1,16,16,1335.44128418,1.28354764037464,2,1
"FC Krasnodar",64,56,28,28,"RUS",1,1,16,1,1614.2935791,1.34094018396509,1,1
"Zenit",62,68,29,39,"RUS",1,1,16,2,1654.94470215,1.34020117794863,1,1
"CSKA Moskva",60,52,26,26,"RUS",1,1,16,3,1586.48449707,1.35413273359637,1,1
"Spartak Moskva",53,49,36,13,"RUS",1,1,16,4,1575.06225586,1.28356241682303,1,1
"Lok Moskva",48,42,32,10,"RUS",1,1,16,5,1528.8885498,1.13944865877469,1,1
"Dynamo Moskva",43,40,33,7,"RUS",1,1,16,6,1559.70556641,1.25997532560224,1,1
"Rubin Kazan",43,34,37,-3,"RUS",1,1,16,7,1449.19909668,1.38574097780798,1,1
"FC Khimki",37,41,41,0,"RUS",1,1,16,8,1332.08056641,1.35566631986737,1,1
"Kryliya Sovetov",37,33,41,-8,"RUS",1,1,16,9,1389.4510498,1.26098813359463,1,1
"Orenburg",37,28,37,-9,"RUS",1,1,16,10,1342.03637695,1.33876716115594,1,1
"Rostov",35,36,43,-7,"RUS",1,1,16,11,1454.07470703,1.39510128075768,1,1
"Terek Grozny",31,25,33,-8,"RUS",1,1,16,12,1378.00061035,1.19527018509387,1,1
"Nizhny Novgorod",31,31,41,-10,"RUS",1,1,16,13,1328.875,1.28876537878498,1,1
"Dynamo Makhachkala",25,25,44,-19,"RUS",1,1,16,14,1345.46643066,1.26465997141701,1,1
"Akron Togliatti",25,26,55,-29,"RUS",1,1,16,15,1351.15979004,1.44970410094028,1,1
"Fakel Voronezh",20,21,51,-30,"RUS",1,1,16,16,1325.39428711,1.18706369039192,1,1
"FC Kobenhavn",49,41,19,22,"DEN",1,2,12,1,1621.64001465,1.44411577068443,0,1
"Midtjylland",47,39,18,21,"DEN",1,2,12,2,1595.68408203,1.26690921993172,0,1
"Silkeborg",40,36,24,12,"DEN",1,2,12,3,1461.40356445,1.35727395552458,0,1
"Brondby",35,29,16,13,"DEN",1,2,12,4,1547.92456055,1.12667815931752,0,1
"Viborg",35,36,30,6,"DEN",1,2,12,5,1447.69433594,1.47196272991206,0,1
"Randers",34,26,24,2,"DEN",1,2,12,6,1466.17724609,1.05969037851081,0,1
"Nordsjaelland",30,31,34,-3,"DEN",1,2,12,7,1515.36816406,1.29018212559948,0,1
"Aarhus",28,35,33,2,"DEN",1,2,12,8,1449.50964355,1.27156693382004,0,1
"SonderjyskE",23,24,43,-19,"DEN",1,2,12,9,1360.40319824,1.40691614606768,0,1
"Lyngby",19,25,42,-17,"DEN",1,2,12,10,1331.06628418,1.23112443054505,0,1
"Aalborg",19,22,39,-17,"DEN",1,2,12,11,1285.1204834,1.14764331995702,0,1
"Vejle",12,19,41,-22,"DEN",1,2,12,12,1342.21606445,1.2897212272657,0,1
"Slavia Praha",73,65,16,49,"CZE",2,2,16,1,1694.71618652,1.22339180003953,1,1
"Banik Ostrava",62,48,25,23,"CZE",2,2,16,2,1525.75,1.20141732995907,1,1
"Viktoria Plzen",60,51,23,28,"CZE",2,2,16,3,1616.74377441,1.26189239488911,1,1
"Sparta Praha",56,46,24,22,"CZE",2,2,16,4,1573.58947754,1.34206946432545,1,1
"Slovan Liberec",52,46,38,8,"CZE",2,2,16,5,1420.46691895,1.41302072674549,1,1
"Jablonec",50,46,34,12,"CZE",2,2,16,6,1488.07983398,1.41629645559673,1,1
"Hradec Kralove",46,38,37,1,"CZE",2,2,16,7,1427.42712402,1.27410674168812,1,1
"Mlada Boleslav",42,41,36,5,"CZE",2,2,16,8,1361.43188477,1.29640775773775,1,1
"Bohemians Praha",42,30,34,-4,"CZE",2,2,16,9,1355.88806152,1.25160250696987,1,1
"Karvina",33,30,50,-20,"CZE",2,2,16,10,1330.63317871,1.33645819621368,1,1
"Dukla",31,33,46,-13,"CZE",2,2,16,11,1288.5020752,1.24104790538119,1,1
"Sigma Olomouc",30,37,45,-8,"CZE",2,2,16,12,1384.57910156,1.47784292874755,1,1
"Teplice",29,31,48,-17,"CZE",2,2,16,13,1364.72058105,1.30990784868972,1,1
"Slovacko",27,27,46,-19,"CZE",2,2,16,14,1320.97827148,1.54016177605048,1,1
"Pardubice",22,27,58,-31,"CZE",2,2,16,15,1270.84509277,1.35584864255653,1,1
"Ceske Budejovice",15,18,54,-36,"CZE",2,2,16,16,1153.98828125,1.1335027563788,1,1
"Benfica",82,93,24,69,"POR",2,1,18,1,1791.48046875,1.54411764705882,2,1
"Sporting",81,83,26,57,"POR",2,1,18,2,1788.60021973,1.83823529411765,2,1
"Porto",77,62,21,41,"POR",2,1,18,3,1678.19543457,1.32352941176471,2,1
"Braga",63,73,42,31,"POR",2,1,18,4,1650.64880371,1.77941176470588,2,1
"Famalicao",56,46,38,8,"POR",2,1,18,5,1511.265625,1.14705882352941,2,1
"Guimaraes",55,52,43,9,"POR",2,1,18,6,1576.27685547,1.32352941176471,2,1
"Arouca",48,46,47,-1,"POR",2,1,18,7,1471.92883301,1.52941176470588,2,1
"Rio Ave",45,45,53,-8,"POR",2,1,18,8,1450.0300293,1.19117647058824,2,1
"Santa Clara",44,42,54,-12,"POR",2,1,18,9,1484.93884277,1.24552092599983,2,1
"Gil Vicente",39,43,51,-8,"POR",2,1,18,10,1432.91479492,1.38235294117647,2,1
"Estoril",39,37,55,-18,"POR",2,1,18,11,1470.43786621,1.57352941176471,2,1
"Moreirense",38,40,47,-7,"POR",2,1,18,12,1460.36975098,1.04411764705882,2,1
"Estrela Amadora",37,41,59,-18,"POR",2,1,18,13,1367.9029541,1.26470588235294,2,1
"Nacional",35,34,50,-16,"POR",2,1,18,14,1410.2755127,1.16837548395484,2,1
"AVS Futebol",34,32,58,-26,"POR",2,1,18,15,1353.67419434,1.34943128360149,2,1
"Farense",28,35,62,-27,"POR",2,1,18,16,1388.83337402,1.42647058823529,2,1
"Casa Pia",27,35,61,-26,"POR",2,1,18,17,1459.93005371,1.29411764705882,2,1
"Boavista",26,32,80,-48,"POR",2,1,18,18,1345.24804688,1.48529411764706,2,1
"Bayern",84,92,29,63,"GER",2,0,18,1,1918.99780273,2.04411764705882,4,1
"Dortmund",82,72,26,46,"GER",2,0,18,2,1818.35009766,1.63235294117647,4,1
"Stuttgart",63,54,41,13,"GER",2,0,18,3,1719.31469727,1.72058823529412,4,1
"Leverkusen",59,73,46,27,"GER",2,0,18,4,1848.78601074,1.66176470588235,4,1
"Frankfurt",58,59,43,16,"GER",2,0,18,5,1745.75793457,1.48529411764706,4,1
"Mainz",55,52,40,12,"GER",2,0,18,6,1706.18273926,1.32352941176471,4,1
"Freiburg",55,51,41,10,"GER",2,0,18,7,1684.3404541,1.51470588235294,4,1
"Wolfsburg",47,54,58,-4,"GER",2,0,18,8,1645.72412109,1.42647058823529,4,1
"Heidenheim",43,46,57,-11,"GER",2,0,18,9,1558.72509766,1.54411764705882,4,1
"Union Berlin",42,42,53,-11,"GER",2,0,18,10,1617.16491699,1.33823529411765,4,1
"RB Leipzig",40,56,61,-5,"GER",2,0,18,11,1716.37438965,1.70588235294118,4,1
"Gladbach",36,58,70,-12,"GER",2,0,18,12,1632.47961426,1.80882352941176,4,1
"Werder",36,43,55,-12,"GER",2,0,18,13,1677.4543457,1.5,4,1
"St Pauli",34,32,58,-26,"GER",2,0,18,14,1577.10717773,1.35101084229529,4,1
"Hoffenheim",31,42,66,-24,"GER",2,0,18,15,1605.84057617,1.94117647058824,4,1
"Augsburg",30,38,55,-17,"GER",2,0,18,16,1618.65966797,1.61764705882353,4,1
"Bochum",28,42,79,-37,"GER",2,0,18,17,1539.73632812,1.70588235294118,4,1
"Holstein",26,35,63,-28,"GER",2,0,18,18,1537.13269043,1.23696996660719,4,1
"Karabakh Agdam",87,81,27,54,"REST",1,2,20,1,1500.27087402,1.4058483048709,1,1
"Vikingur",70,52,39,13,"REST",1,2,20,2,1257.90124512,1.23807569517689,1,1
"Sabah",64,62,43,19,"REST",1,2,20,3,1298.62854004,1.52061024645405,1,1
"Omonia",64,54,35,19,"REST",1,2,20,4,1421.9876709,1.34251003773724,1,1
"Slovan Bratislava",62,53,39,14,"REST",1,2,20,5,1408.17773438,1.40273924387638,1,1
"Ruzomberok",59,48,35,13,"REST",1,2,20,6,1369.51293945,1.29652739716887,1,1
"Derry City",53,53,46,7,"REST",1,2,20,7,1226.78308105,1.50752450086523,1,1
"Shamrock",53,58,60,-2,"REST",1,2,20,8,1295.78845215,1.37876396056302,1,1
"Auda",52,43,47,-4,"REST",1,2,20,9,1208.27697754,1.34569988054234,1,1
"Sheriff Tiraspol",49,46,43,3,"REST",1,2,20,10,1376.75268555,1.26659991576335,1,1
"Drita",49,51,60,-9,"REST",1,2,20,11,1217.79748535,1.32075383392323,1,1
"FK Astana",48,52,62,-10,"REST",1,2,20,12,1354.60595703,1.53079783990594,1,1
"Ordabasy",46,47,57,-10,"REST",1,2,20,13,1203.40258789,1.2761352899087,1,1
"Tobol",44,36,45,-9,"REST",1,2,20,14,1228.64819336,1.29228470646435,1,1
"Sumqayit",43,42,51,-9,"REST",1,2,20,15,1285.54614258,1.2744972969859,1,1
"FK Sarajevo",43,44,58,-14,"REST",1,2,20,16,1240.11474609,1.42079083983867,1,1
"Dinamo Minsk",43,41,58,-17,"REST",1,2,20,17,1213.3963623,1.15755053497872,1,1
"St Patricks",41,40,57,-17,"REST",1,2,20,18,1264.93566895,1.28556003980458,1,1
"Ilves Tampere",38,35,56,-21,"REST",1,2,20,19,1208.48547363,1.38864226513749,1,1
"Noah",35,38,58,-20,"REST",1,2,20,20,1264.0534668,1.31058023678937,1,1
"Paris SG",87,87,25,62,"FRA",2,1,18,1,1974.93762207,1.1768676578442,3,1
"Lyon",65,53,30,23,"FRA",2,1,18,2,1744.62866211,1.35210227426481,3,1
"Lille",57,49,37,12,"FRA",2,1,18,3,1782.04833984,1.39838955700534,3,1
"Monaco",56,45,32,13,"FRA",2,1,18,4,1762.12561035,1.32199248036607,3,1
"Nice",52,56,52,4,"FRA",2,1,18,5,1720.62438965,1.2841245395284,3,1
"Brest",52,44,47,-3,"FRA",2,1,18,6,1679.1048584,1.20738905026226,3,1
"Lens",51,42,35,7,"FRA",2,1,18,7,1693.22021484,1.25697882460715,3,1
"Rennes",48,39,40,-1,"FRA",2,1,18,8,1663.48510742,1.28228960385635,3,1
"Reims",45,48,54,-6,"FRA",2,1,18,9,1589.82861328,1.54976615898342,3,1
"Marseille",44,39,31,8,"FRA",2,1,18,10,1756.52758789,1.15327499709078,3,1
"Toulouse",44,41,44,-3,"FRA",2,1,18,11,1653.90771484,1.22682518268804,3,1
"Montpellier",44,42,57,-15,"FRA",2,1,18,12,1490.47045898,1.2121292387134,3,1
"Strasbourg",39,36,39,-3,"FRA",2,1,18,13,1707.00744629,1.44645873119698,3,1
"Auxerre",38,36,43,-7,"FRA",2,1,18,14,1629.10119629,1.19520155871923,3,1
"Saint-Etienne",33,31,53,-22,"FRA",2,1,18,15,1532.84277344,1.18434276373641,3,1
"Angers",32,31,49,-18,"FRA",2,1,18,16,1538.24450684,1.30021318596803,3,1
"Nantes",27,28,49,-21,"FRA",2,1,18,17,1586.95227051,1.36670661667655,3,1
"Le Havre",21,29,59,-30,"FRA",2,1,18,18,1553.54150391,1.17467102443923,3,1
"M Tel Aviv",66,62,19,43,"ISR",1,1,14,1,1552.51538086,1.2955290863106,0,1
"Beer-Sheva",47,48,29,19,"ISR",1,1,14,2,1514.36657715,1.35608207286201,0,1
"Maccabi Haifa",44,37,24,13,"ISR",1,1,14,3,1451.36315918,1.26107628182816,0,1
"Hapoel Jerusalem",39,31,39,-8,"ISR",1,1,14,4,1328.39428711,1.38811077264542,0,1
"Ashdod",38,37,29,8,"ISR",1,1,14,5,1282.84484863,1.35939461876284,0,1
"Hapoel Haifa",38,35,31,4,"ISR",1,1,14,6,1364.0723877,1.25458630908456,0,1
"Beitar",38,32,32,0,"ISR",1,1,14,7,1339.39416504,1.25850054367003,0,1
"Kiryat Shmona",34,28,35,-7,"ISR",1,1,14,8,1196.04394531,1.23183395212443,0,1
"Bnei Sakhinin",31,32,39,-7,"ISR",1,1,14,9,1269.97265625,1.1723407791542,0,1
"Ironi Tiberias",29,23,32,-9,"ISR",1,1,14,10,1224.82067871,1.26800071314515,0,1
"Netanya",29,22,36,-14,"ISR",1,1,14,11,1311.05419922,1.31887922995143,0,1
"M Petach Tikva",27,34,39,-5,"ISR",1,1,14,12,1220.94750977,1.28226695177304,0,1
"Maccabi Bnei Raina",26,23,34,-11,"ISR",1,1,14,13,1239.88305664,1.2364263546051,0,1
"Hapoel Eran Hadera",21,24,50,-26,"ISR",1,1,14,14,1190.2331543,1.30601604404345,0,1
"Ferencvaros",52,58,21,37,"HUN",0,1,12,1,1499.69836426,1.40967770442742,0,1
"Paksi",41,33,23,10,"HUN",0,1,12,2,1378.65771484,1.2694184580233,0,1
"Puskas Akademia",38,41,29,12,"HUN",0,1,12,3,1423.1427002,1.56491668810949,0,1
"Debrecen",32,30,27,3,"HUN",0,1,12,4,1286.16259766,1.41780869965732,0,1
"MTK",31,29,31,-2,"HUN",0,1,12,5,1281.40856934,1.40630998372764,0,1
"Nyiregyhaza",31,25,28,-3,"HUN",0,1,12,6,1232.09912109,1.2792619256398,0,1
"Kecskemeti",27,23,31,-8,"HUN",0,1,12,7,1235.34887695,1.23493036466896,0,1
